Date,Open,High,Low,Close,Volume
"Jan 27, 2025",224.03,232.15,224.00,229.86,94132139.0
"Jan 24, 2025",224.78,225.63,221.41,222.78,54619500.0
"Jan 23, 2025",224.74,227.03,222.30,223.66,60234800.0
"Jan 22, 2025",219.79,224.12,219.79,223.83,64126500.0
"Jan 21, 2025",224.00,224.42,219.38,222.64,98070400.0
"Jan 17, 2025",232.12,232.29,228.48,229.98,68488300.0
"Jan 16, 2025",237.35,238.01,228.03,228.26,71759100.0
"Jan 15, 2025",234.64,238.96,234.43,237.87,39832000.0
"Jan 14, 2025",234.75,236.12,232.47,233.28,39435300.0
"Jan 13, 2025",233.53,234.67,229.72,234.40,49630700.0
"Jan 10, 2025",240.01,240.16,233.00,236.85,61710900.0
"Jan 8, 2025",241.92,243.71,240.05,242.70,37628900.0
"Jan 7, 2025",242.98,245.55,241.35,242.21,40856000.0
"Jan 6, 2025",244.31,247.33,243.20,245.00,45045600.0
"Jan 3, 2025",243.36,244.18,241.89,243.36,40244100.0
"Jan 2, 2025",248.93,249.10,241.82,243.85,55740700.0
"Dec 31, 2024",252.44,253.28,249.43,250.42,39480700.0
"Dec 30, 2024",252.23,253.50,250.75,252.20,35557500.0
"Dec 27, 2024",257.83,258.70,253.06,255.59,42355300.0
"Dec 26, 2024",258.19,260.10,257.63,259.02,27237100.0
"Dec 24, 2024",255.49,258.21,255.29,258.20,23234700.0
"Dec 23, 2024",254.77,255.65,253.45,255.27,40858800.0
"Dec 20, 2024",248.04,255.00,245.69,254.49,147495300.0
"Dec 19, 2024",247.50,252.00,247.09,249.79,60882300.0
"Dec 18, 2024",252.16,254.28,247.74,248.05,56774100.0
"Dec 17, 2024",250.08,253.83,249.78,253.48,51356400.0
"Dec 16, 2024",247.99,251.38,247.65,251.04,51694800.0
"Dec 13, 2024",247.82,249.29,246.24,248.13,33155300.0
"Dec 12, 2024",246.89,248.74,245.68,247.96,32777500.0
"Dec 11, 2024",247.96,250.80,246.26,246.49,45205800.0
"Dec 10, 2024",246.89,248.21,245.34,247.77,36914800.0
"Dec 9, 2024",241.83,247.24,241.75,246.75,44649200.0
"Dec 6, 2024",242.91,244.63,242.08,242.84,36870600.0
"Dec 5, 2024",243.99,244.54,242.13,243.04,40033900.0
"Dec 4, 2024",242.87,244.11,241.25,243.01,44383900.0
"Dec 3, 2024",239.81,242.76,238.90,242.65,38861000.0
"Dec 2, 2024",237.27,240.79,237.16,239.59,48137100.0
"Nov 29, 2024",234.81,237.81,233.97,237.33,28481400.0
"Nov 27, 2024",234.47,235.69,233.81,234.93,33498400.0
"Nov 26, 2024",233.33,235.57,233.33,235.06,45986200.0
"Nov 25, 2024",231.46,233.25,229.74,232.87,90152800.0
"Nov 22, 2024",228.06,230.72,228.06,229.87,38168300.0
"Nov 21, 2024",228.88,230.16,225.71,228.52,42108300.0
"Nov 20, 2024",228.06,229.93,225.89,229.00,35169600.0
"Nov 19, 2024",226.98,230.16,226.66,228.28,36211800.0
"Nov 18, 2024",225.25,229.74,225.17,228.02,44686000.0
"Nov 15, 2024",226.40,226.92,224.27,225.00,47923700.0
"Nov 14, 2024",225.02,228.87,225.00,228.22,44923900.0
"Nov 13, 2024",224.01,226.65,222.76,225.12,48566200.0
"Nov 12, 2024",224.55,225.59,223.36,224.23,40398300.0
"Nov 11, 2024",225.00,225.70,221.50,224.23,42005600.0
"Nov 8, 2024",227.17,228.66,226.41,226.96,38328800.0
"Nov 7, 2024",224.63,227.88,224.57,227.48,42137700.0
"Nov 6, 2024",222.61,226.07,221.19,222.72,54561100.0
"Nov 5, 2024",221.80,223.95,221.14,223.45,28111300.0
"Nov 4, 2024",220.99,222.79,219.71,222.01,44944500.0
"Nov 1, 2024",220.97,225.35,220.27,222.91,65276700.0
"Oct 31, 2024",229.34,229.83,225.37,225.91,64370100.0
"Oct 30, 2024",232.61,233.47,229.55,230.10,47070900.0
"Oct 29, 2024",233.10,234.33,232.32,233.67,35417200.0
"Oct 28, 2024",233.32,234.73,232.55,233.40,36087100.0
"Oct 25, 2024",229.74,233.22,229.57,231.41,38802300.0
"Oct 24, 2024",229.98,230.82,228.41,230.57,31109500.0
"Oct 23, 2024",234.08,235.14,227.76,230.76,52287000.0
"Oct 22, 2024",233.89,236.22,232.60,235.86,38846600.0
"Oct 21, 2024",234.45,236.85,234.45,236.48,36254500.0
"Oct 18, 2024",236.18,236.18,234.01,235.00,46431500.0
"Oct 17, 2024",233.43,233.85,230.52,232.15,32993800.0
"Oct 16, 2024",231.60,232.12,229.84,231.78,34082200.0
"Oct 15, 2024",233.61,237.49,232.37,233.85,64751400.0
"Oct 14, 2024",228.70,231.73,228.60,231.30,39882100.0
"Oct 11, 2024",229.30,229.41,227.34,227.55,31759200.0
"Oct 10, 2024",227.78,229.50,227.17,229.04,28183500.0
"Oct 9, 2024",225.23,229.75,224.83,229.54,33591100.0
"Oct 8, 2024",224.30,225.98,223.25,225.77,31855700.0
"Oct 7, 2024",224.50,225.69,221.33,221.69,39505400.0
"Oct 4, 2024",227.90,228.00,224.13,226.80,37245100.0
"Oct 3, 2024",225.14,226.81,223.32,225.67,34044200.0
"Oct 2, 2024",225.89,227.37,223.02,226.78,32880600.0
"Oct 1, 2024",229.52,229.65,223.74,226.21,63285000.0
"Sep 30, 2024",230.04,233.00,229.65,233.00,54541900.0
"Sep 27, 2024",228.46,229.52,227.30,227.79,34026000.0
"Sep 26, 2024",227.30,228.50,225.41,227.52,36636700.0
"Sep 25, 2024",224.93,227.29,224.02,226.37,42308700.0
"Sep 24, 2024",228.65,229.35,225.73,227.37,43556100.0
"Sep 23, 2024",227.34,229.45,225.81,226.47,54146000.0
"Sep 20, 2024",229.97,233.09,227.62,228.20,318679900.0
"Sep 19, 2024",224.99,229.82,224.63,228.87,66781300.0
"Sep 18, 2024",217.55,222.71,217.54,220.69,59894900.0
"Sep 17, 2024",215.75,216.90,214.50,216.79,45519300.0
"Sep 16, 2024",216.54,217.22,213.92,216.32,59357400.0
"Sep 13, 2024",223.58,224.04,221.91,222.50,36766600.0
"Sep 12, 2024",222.50,223.55,219.82,222.77,37498200.0
"Sep 11, 2024",221.46,223.09,217.89,222.66,44587100.0
"Sep 10, 2024",218.92,221.48,216.73,220.11,51591000.0
"Sep 9, 2024",220.82,221.27,216.71,220.91,67180000.0
"Sep 6, 2024",223.95,225.24,219.77,220.82,48423000.0
"Sep 5, 2024",221.63,225.48,221.52,222.38,36615400.0
"Sep 4, 2024",221.66,221.78,217.48,220.85,43840200.0
"Sep 3, 2024",228.55,229.00,221.17,222.77,50190600.0
"Aug 30, 2024",230.19,230.40,227.48,229.00,52990800.0
"Aug 29, 2024",230.10,232.92,228.88,229.79,51906300.0
"Aug 28, 2024",227.92,229.86,225.68,226.49,38052200.0
"Aug 27, 2024",226.00,228.85,224.89,228.03,35934600.0
"Aug 26, 2024",226.76,227.28,223.89,227.18,30602200.0
"Aug 23, 2024",225.66,228.22,224.33,226.84,38677300.0
"Aug 22, 2024",227.79,228.34,223.90,224.53,43695300.0
"Aug 21, 2024",226.52,227.98,225.05,226.40,34765500.0
"Aug 20, 2024",225.77,227.17,225.45,226.51,30299000.0
"Aug 19, 2024",225.72,225.99,223.04,225.89,40687800.0
"Aug 16, 2024",223.92,226.83,223.65,226.05,44340200.0
"Aug 15, 2024",224.60,225.35,222.76,224.72,46414000.0
"Aug 14, 2024",220.57,223.03,219.70,221.72,41960600.0
"Aug 13, 2024",219.01,221.89,219.01,221.27,44155300.0
"Aug 12, 2024",216.07,219.51,215.60,217.53,38028100.0
"Aug 9, 2024",212.10,216.78,211.97,216.24,42201600.0
"Aug 8, 2024",213.11,214.20,208.83,213.31,47161100.0
"Aug 7, 2024",206.90,213.64,206.39,209.82,63516400.0
"Aug 6, 2024",205.30,209.99,201.07,207.23,69660500.0
"Aug 5, 2024",199.09,213.50,196.00,209.27,119548600.0
"Aug 2, 2024",219.15,225.60,217.71,219.86,105568600.0
"Aug 1, 2024",224.37,224.48,217.02,218.36,62501000.0
"Jul 31, 2024",221.44,223.82,220.63,222.08,50036300.0
"Jul 30, 2024",219.19,220.33,216.12,218.80,41643800.0
"Jul 29, 2024",216.96,219.30,215.75,218.24,36311800.0
"Jul 26, 2024",218.70,219.49,216.01,217.96,41601300.0
"Jul 25, 2024",218.93,220.85,214.62,217.49,51391200.0
"Jul 24, 2024",224.00,224.80,217.13,218.54,61777600.0
"Jul 23, 2024",224.37,226.94,222.68,225.01,39960300.0
"Jul 22, 2024",227.01,227.78,223.09,223.96,48201800.0
"Jul 19, 2024",224.82,226.80,223.28,224.31,49151500.0
"Jul 18, 2024",230.28,230.44,222.27,224.18,66034600.0
"Jul 17, 2024",229.45,231.46,226.64,228.88,57345900.0
"Jul 16, 2024",235.00,236.27,232.33,234.82,43234300.0
"Jul 15, 2024",236.48,237.23,233.09,234.40,62631300.0
"Jul 12, 2024",228.92,232.64,228.68,230.54,53046500.0
"Jul 11, 2024",231.39,232.39,225.77,227.57,64710600.0
"Jul 10, 2024",229.30,233.08,229.25,232.98,62627700.0
"Jul 9, 2024",227.93,229.40,226.37,228.68,48076100.0
"Jul 8, 2024",227.09,227.85,223.25,227.82,59085900.0
"Jul 5, 2024",221.65,226.45,221.65,226.34,60412400.0
"Jul 3, 2024",220.00,221.55,219.03,221.55,37369800.0
"Jul 2, 2024",216.15,220.38,215.10,220.27,58046200.0
"Jul 1, 2024",212.09,217.51,211.92,216.75,60402900.0
"Jun 28, 2024",215.77,216.07,210.30,210.62,82542700.0
"Jun 27, 2024",214.69,215.74,212.35,214.10,49772700.0
"Jun 26, 2024",211.50,214.86,210.64,213.25,66213200.0
"Jun 25, 2024",209.15,211.38,208.61,209.07,56713900.0
"Jun 24, 2024",207.72,212.70,206.59,208.14,80727000.0
"Jun 21, 2024",210.39,211.89,207.11,207.49,246421400.0
"Jun 20, 2024",213.93,214.24,208.85,209.68,86172500.0
"Jun 18, 2024",217.59,218.63,213.00,214.29,79943300.0
"Jun 17, 2024",213.37,218.95,212.72,216.67,93728300.0
"Jun 14, 2024",213.85,215.17,211.30,212.49,70122700.0
"Jun 13, 2024",214.74,216.75,211.60,214.24,97862700.0
"Jun 12, 2024",207.37,220.20,206.90,213.07,198134300.0
"Jun 11, 2024",193.65,207.16,193.63,207.15,172373300.0
"Jun 10, 2024",196.90,197.30,192.15,193.12,97262100.0
"Jun 7, 2024",194.65,196.94,194.14,196.89,53103900.0
"Jun 6, 2024",195.69,196.50,194.17,194.48,41181800.0
"Jun 5, 2024",195.40,196.90,194.87,195.87,54156800.0
"Jun 4, 2024",194.64,195.32,193.03,194.35,47471400.0
"Jun 3, 2024",192.90,194.99,192.52,194.03,50080500.0
"May 31, 2024",191.44,192.57,189.91,192.25,75158300.0
"May 30, 2024",190.76,192.18,190.63,191.29,49947900.0
"May 29, 2024",189.61,192.25,189.51,190.29,53068000.0
"May 28, 2024",191.51,193.00,189.10,189.99,52280100.0
"May 24, 2024",188.82,190.58,188.04,189.98,36294600.0
"May 23, 2024",190.98,191.00,186.63,186.88,51005900.0
"May 22, 2024",192.27,192.82,190.27,190.90,34648500.0
"May 21, 2024",191.09,192.73,190.92,192.35,42309400.0
"May 20, 2024",189.33,191.92,189.01,191.04,44361300.0
"May 17, 2024",189.51,190.81,189.18,189.87,41282900.0
"May 16, 2024",190.47,191.10,189.66,189.84,52845200.0
"May 15, 2024",187.91,190.65,187.37,189.72,70400000.0
"May 14, 2024",187.51,188.30,186.29,187.43,52393600.0
"May 13, 2024",185.44,187.10,184.62,186.28,72044800.0
"May 10, 2024",184.90,185.09,182.13,183.05,50759500.0
"May 9, 2024",182.56,184.66,182.11,184.57,48983000.0
"May 8, 2024",182.85,183.07,181.45,182.74,45057100.0
"May 7, 2024",183.45,184.90,181.32,182.40,77305800.0
"May 6, 2024",182.35,184.20,180.42,181.71,78569700.0
"May 3, 2024",186.65,187.00,182.66,183.38,163224100.0
"May 2, 2024",172.51,173.42,170.89,173.03,94214900.0
"May 1, 2024",169.58,172.71,169.11,169.30,50383100.0
"Apr 30, 2024",173.33,174.99,170.00,170.33,65934800.0
"Apr 29, 2024",173.37,176.03,173.10,173.50,68169400.0
"Apr 26, 2024",169.88,171.34,169.18,169.30,44838400.0
"Apr 25, 2024",169.53,170.61,168.15,169.89,50558300.0
"Apr 24, 2024",166.54,169.30,166.21,169.02,48251800.0
"Apr 23, 2024",165.35,167.05,164.92,166.90,49537800.0
"Apr 22, 2024",165.52,167.26,164.77,165.84,48116400.0
"Apr 19, 2024",166.21,166.40,164.08,165.00,67772100.0
"Apr 18, 2024",168.03,168.64,166.55,167.04,43122900.0
"Apr 17, 2024",169.61,170.65,168.00,168.00,50901200.0
"Apr 16, 2024",171.75,173.76,168.27,169.38,73711200.0
"Apr 15, 2024",175.36,176.63,172.50,172.69,73531800.0
"Apr 12, 2024",174.26,178.36,174.21,176.55,101593300.0
"Apr 11, 2024",168.34,175.46,168.16,175.04,91070300.0
"Apr 10, 2024",168.80,169.09,167.11,167.78,49709300.0
"Apr 9, 2024",168.70,170.08,168.35,169.67,42451200.0
"Apr 8, 2024",169.03,169.20,168.24,168.45,37425500.0
"Apr 5, 2024",169.59,170.39,168.95,169.58,42055200.0
"Apr 4, 2024",170.29,171.92,168.82,168.82,53704400.0
"Apr 3, 2024",168.79,170.68,168.58,169.65,47691700.0
"Apr 2, 2024",169.08,169.34,168.23,168.84,49329500.0
"Apr 1, 2024",171.19,171.25,169.48,170.03,46240500.0
"Mar 28, 2024",171.75,172.23,170.51,171.48,65672700.0
"Mar 27, 2024",170.41,173.60,170.11,173.31,60273300.0
"Mar 26, 2024",170.00,171.42,169.58,169.71,57388400.0
"Mar 25, 2024",170.57,171.94,169.45,170.85,54288300.0
"Mar 22, 2024",171.76,173.05,170.06,172.28,71106600.0
"Mar 21, 2024",177.05,177.49,170.84,171.37,106181300.0
"Mar 20, 2024",175.72,178.67,175.09,178.67,53423100.0
"Mar 19, 2024",174.34,176.61,173.03,176.08,55215200.0
"Mar 18, 2024",175.57,177.71,173.52,173.72,75604200.0
"Mar 15, 2024",171.17,172.62,170.29,172.62,121664700.0
"Mar 14, 2024",172.91,174.31,172.05,173.00,72913500.0
"Mar 13, 2024",172.77,173.19,170.76,171.13,52488700.0
"Mar 12, 2024",173.15,174.03,171.01,173.23,59825400.0
"Mar 11, 2024",172.94,174.38,172.05,172.75,60139500.0
"Mar 8, 2024",169.00,173.70,168.94,170.73,76114600.0
"Mar 7, 2024",169.15,170.73,168.49,169.00,71765100.0
"Mar 6, 2024",171.06,171.24,168.68,169.12,68587700.0
"Mar 5, 2024",170.76,172.04,169.62,170.12,95132400.0
"Mar 4, 2024",176.15,176.90,173.79,175.10,81510100.0
"Mar 1, 2024",179.55,180.53,177.38,179.66,73488000.0
"Feb 29, 2024",181.27,182.57,179.53,180.75,136682600.0
"Feb 28, 2024",182.51,183.12,180.13,181.42,48953900.0
"Feb 27, 2024",181.10,183.92,179.56,182.63,54318900.0
"Feb 26, 2024",182.24,182.76,180.65,181.16,40867400.0
"Feb 23, 2024",185.01,185.04,182.23,182.52,45119700.0
"Feb 22, 2024",183.48,184.96,182.46,184.37,52292200.0
"Feb 21, 2024",181.94,182.89,180.66,182.32,41529700.0
"Feb 20, 2024",181.79,182.43,180.00,181.56,53665600.0
"Feb 16, 2024",183.42,184.85,181.67,182.31,49701400.0
"Feb 15, 2024",183.55,184.49,181.35,183.86,65434500.0
"Feb 14, 2024",185.32,185.53,182.44,184.15,54630500.0
"Feb 13, 2024",185.77,186.21,183.51,185.04,56529500.0
"Feb 12, 2024",188.42,188.67,186.79,187.15,41781900.0
"Feb 9, 2024",188.65,189.99,188.00,188.85,45155200.0
"Feb 8, 2024",189.39,189.54,187.35,188.32,40962000.0
"Feb 7, 2024",190.64,191.05,188.61,189.41,53439000.0
"Feb 6, 2024",186.86,189.31,186.77,189.30,43490800.0
"Feb 5, 2024",188.15,189.25,185.84,187.68,69668800.0
"Feb 2, 2024",179.86,187.33,179.25,185.85,102518000.0
"Feb 1, 2024",183.99,186.95,183.82,186.86,64885400.0
"Jan 31, 2024",187.04,187.10,184.35,184.40,55467800.0
"Jan 30, 2024",190.94,191.80,187.47,188.04,55859400.0
"Jan 29, 2024",192.01,192.20,189.58,191.73,47145600.0
"Jan 26, 2024",194.27,194.76,191.94,192.42,44594000.0
"Jan 25, 2024",195.22,196.27,193.11,194.17,54822100.0
"Jan 24, 2024",195.42,196.38,194.34,194.50,53631300.0
"Jan 23, 2024",195.02,195.75,193.83,195.18,42355600.0
"Jan 22, 2024",192.30,195.33,192.26,193.89,60133900.0
"Jan 19, 2024",189.33,191.95,188.82,191.56,68741000.0
"Jan 18, 2024",186.09,189.14,185.83,188.63,78005800.0
