Date,Open,High,Low,Close,Adj Close,Volume
"Jan 31, 2025",247.19,247.19,233.44,236.00,236.00,"100,959,800"
"Jan 30, 2025",238.67,240.79,237.21,237.59,237.59,"55,658,300"
"Jan 29, 2025",234.12,239.86,234.01,239.36,239.36,"45,486,100"
"Jan 28, 2025",230.85,240.19,230.81,238.26,238.26,"75,707,600"
"Jan 27, 2025",224.02,232.15,223.98,229.86,229.86,"94,863,400"
"Jan 24, 2025",224.78,225.63,221.41,222.78,222.78,"54,697,900"
"Jan 23, 2025",224.74,227.03,222.30,223.66,223.66,"60,234,800"
"Jan 22, 2025",219.79,224.12,219.79,223.83,223.83,"64,126,500"
"Jan 21, 2025",224.00,224.42,219.38,222.64,222.64,"98,070,400"
"Jan 17, 2025",232.12,232.29,228.48,229.98,229.98,"68,488,300"
"Jan 16, 2025",237.35,238.01,228.03,228.26,228.26,"71,759,100"
"Jan 15, 2025",234.64,238.96,234.43,237.87,237.87,"39,832,000"
"Jan 14, 2025",234.75,236.12,232.47,233.28,233.28,"39,435,300"
"Jan 13, 2025",233.53,234.67,229.72,234.40,234.40,"49,630,700"
"Jan 10, 2025",240.01,240.16,233.00,236.85,236.85,"61,710,900"
"Jan 8, 2025",241.92,243.71,240.05,242.70,242.70,"37,628,900"
"Jan 7, 2025",242.98,245.55,241.35,242.21,242.21,"40,856,000"
"Jan 6, 2025",244.31,247.33,243.20,245.00,245.00,"45,045,600"
"Jan 3, 2025",243.36,244.18,241.89,243.36,243.36,"40,244,100"
"Jan 2, 2025",248.93,249.10,241.82,243.85,243.85,"55,740,700"
"Dec 31, 2024",252.44,253.28,249.43,250.42,250.42,"39,480,700"
"Dec 30, 2024",252.23,253.50,250.75,252.20,252.20,"35,557,500"
"Dec 27, 2024",257.83,258.70,253.06,255.59,255.59,"42,355,300"
"Dec 26, 2024",258.19,260.10,257.63,259.02,259.02,"27,237,100"
"Dec 24, 2024",255.49,258.21,255.29,258.20,258.20,"23,234,700"
"Dec 23, 2024",254.77,255.65,253.45,255.27,255.27,"40,858,800"
"Dec 20, 2024",248.04,255.00,245.69,254.49,254.49,"147,495,300"
"Dec 19, 2024",247.50,252.00,247.09,249.79,249.79,"60,882,300"
"Dec 18, 2024",252.16,254.28,247.74,248.05,248.05,"56,774,100"
"Dec 17, 2024",250.08,253.83,249.78,253.48,253.48,"51,356,400"
"Dec 16, 2024",247.99,251.38,247.65,251.04,251.04,"51,694,800"
"Dec 13, 2024",247.82,249.29,246.24,248.13,248.13,"33,155,300"
"Dec 12, 2024",246.89,248.74,245.68,247.96,247.96,"32,777,500"
"Dec 11, 2024",247.96,250.80,246.26,246.49,246.49,"45,205,800"
